age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,OperatingSystems,Browser,Region,TrafficType,Weekend
53,management,married,secondary,no,403,no,no,cellular,14,aug,250,1,1,4,8,1,TRUE
41,blue-collar,single,secondary,no,1,no,yes,unknown,8,feb,204,2,2,2,3,2,TRUE
54,technician,married,secondary,no,137,no,no,unknown,5,nov,882,1,3,1,8,2,FALSE
84,management,divorced,primary,no,7,yes,no,cellular,16,aug,157,2,3,1,8,1,FALSE
62,technician,married,primary,no,113,no,no,cellular,2,may,383,1,3,1,5,13,FALSE
81,retired,single,unknown,no,615,no,no,unknown,5,nov,136,2,2,2,1,2,FALSE
84,management,divorced,tertiary,no,3344,yes,no,unknown,15,may,832,1,2,2,2,8,TRUE
55,blue-collar,divorced,secondary,yes,0,yes,no,cellular,8,sep,101,2,1,2,1,2,TRUE
84,unknown,married,secondary,no,50,yes,no,cellular,20,jun,276,8,2,2,7,3,FALSE
64,management,married,tertiary,no,36,yes,no,cellular,7,may,200,2,2,1,6,11,FALSE
22,housemaid,single,secondary,no,101,yes,no,cellular,24,feb,120,3,1,4,4,3,TRUE
57,unemployed,single,secondary,no,-123,yes,no,cellular,21,may,98,3,2,2,8,3,TRUE
66,services,married,secondary,no,2934,no,no,cellular,20,may,365,2,3,2,2,4,FALSE
59,technician,married,secondary,no,339,no,no,cellular,12,aug,233,2,1,2,1,8,FALSE
84,entrepreneur,married,primary,no,115,no,no,cellular,8,jul,4,21,2,1,7,2,FALSE
50,self-employed,married,secondary,no,589,yes,no,unknown,7,feb,732,3,3,1,7,3,TRUE
53,entrepreneur,married,secondary,no,662,no,yes,unknown,12,oct,192,1,3,4,3,13,TRUE
26,retired,married,secondary,no,230,yes,no,telephone,17,aug,1502,3,2,2,1,2,FALSE
62,blue-collar,married,secondary,no,10966,yes,no,telephone,6,aug,1018,2,4,5,3,18,FALSE
47,technician,single,tertiary,no,-133,no,no,cellular,14,jan,70,1,2,2,3,2,FALSE
54,blue-collar,single,secondary,no,-20,no,yes,cellular,19,jun,20,2,2,2,1,13,TRUE
20,blue-collar,married,tertiary,no,-1576,yes,no,cellular,17,jun,141,1,3,6,2,6,FALSE
58,technician,married,primary,no,4264,yes,no,cellular,14,may,21,1,2,2,8,3,TRUE
28,blue-collar,married,primary,no,677,yes,no,cellular,4,feb,256,1,2,2,2,5,FALSE
30,technician,married,secondary,no,913,no,no,cellular,20,oct,105,7,1,2,2,1,FALSE
35,technician,single,secondary,no,310,yes,no,cellular,16,nov,250,3,1,4,7,2,FALSE
54,management,married,secondary,no,245,yes,no,cellular,21,jul,235,1,2,2,1,8,TRUE
84,admin.,married,unknown,no,3189,yes,no,unknown,20,may,152,9,2,2,3,2,FALSE
51,technician,married,tertiary,no,8903,yes,no,cellular,12,jun,130,1,2,2,4,2,FALSE
19,admin.,single,secondary,no,5409,yes,no,telephone,21,mar,52,3,1,4,1,1,FALSE
65,management,single,primary,no,93,yes,no,cellular,3,jan,415,5,2,2,1,1,FALSE
80,blue-collar,divorced,secondary,no,1845,no,no,cellular,9,jan,10,1,2,6,1,2,TRUE
30,admin.,single,tertiary,no,781,yes,no,cellular,27,jul,180,1,2,1,3,20,FALSE
32,blue-collar,married,secondary,no,153,no,no,cellular,17,jun,118,1,1,2,2,2,FALSE
51,blue-collar,married,secondary,no,13542,yes,no,cellular,10,may,91,1,4,2,3,2,FALSE
73,unknown,divorced,secondary,no,-39,no,no,unknown,12,jul,93,7,2,2,8,13,FALSE
84,blue-collar,single,primary,no,395,no,no,cellular,20,jan,165,1,2,2,1,4,FALSE
42,entrepreneur,married,secondary,no,218,no,no,cellular,21,feb,171,2,2,2,1,13,FALSE
52,services,married,tertiary,no,793,no,no,cellular,13,may,170,4,7,2,1,2,FALSE
84,services,married,secondary,no,9261,yes,no,cellular,27,nov,652,3,1,2,1,10,FALSE
44,services,married,secondary,no,0,yes,no,cellular,26,nov,25,1,2,2,7,3,TRUE
66,blue-collar,married,secondary,no,944,yes,no,cellular,4,jul,135,2,2,2,2,5,FALSE
53,self-employed,single,secondary,no,1,yes,no,unknown,13,jul,94,2,2,2,1,10,FALSE
57,management,married,primary,no,290,yes,no,cellular,20,nov,292,2,2,2,6,4,FALSE
70,management,married,primary,no,801,yes,no,telephone,30,may,117,3,2,2,2,3,FALSE
25,blue-collar,married,secondary,no,157,yes,no,cellular,14,may,54,3,2,2,3,2,FALSE
56,blue-collar,married,primary,no,-449,no,no,cellular,18,may,428,1,1,1,7,2,FALSE
72,admin.,married,primary,no,1,yes,yes,cellular,22,jul,41,3,2,8,1,13,FALSE
34,blue-collar,married,tertiary,no,48,yes,no,unknown,7,may,422,1,4,2,1,2,FALSE
29,management,divorced,tertiary,no,4,yes,no,unknown,20,apr,12,9,2,8,3,1,FALSE
39,retired,married,tertiary,no,42558,no,no,unknown,22,aug,62,2,3,2,6,13,FALSE
84,services,single,tertiary,no,1,yes,no,cellular,9,jun,307,2,1,1,1,1,FALSE
82,services,single,secondary,no,4,yes,no,unknown,8,may,127,3,3,2,3,2,FALSE
84,unknown,single,secondary,no,206,yes,no,cellular,3,jun,40,1,1,13,4,2,TRUE
63,self-employed,single,primary,no,320,no,no,unknown,15,may,237,1,2,2,1,1,FALSE
19,housemaid,married,tertiary,no,3934,no,no,cellular,17,nov,176,1,3,2,2,1,FALSE
60,unemployed,married,unknown,no,1013,yes,no,telephone,19,nov,337,1,2,5,9,1,TRUE
78,blue-collar,single,secondary,no,-1449,yes,no,unknown,14,feb,133,3,2,8,7,7,TRUE
67,retired,married,unknown,no,265,yes,no,unknown,7,aug,451,6,2,2,1,2,TRUE
43,management,married,primary,no,1240,yes,no,unknown,20,nov,356,1,2,2,3,2,FALSE
85,management,married,primary,no,3291,yes,no,cellular,29,feb,235,2,2,2,4,20,FALSE
84,admin.,married,tertiary,no,78,yes,yes,cellular,21,sep,136,2,2,2,1,2,FALSE
84,technician,single,tertiary,no,3501,yes,no,telephone,5,nov,155,2,3,4,1,6,FALSE
82,blue-collar,single,tertiary,no,74,yes,no,cellular,4,jul,134,3,2,2,2,4,TRUE
74,retired,married,secondary,no,4531,no,yes,cellular,25,nov,398,1,2,2,7,2,FALSE
80,technician,single,tertiary,no,125,no,yes,cellular,5,jun,296,4,8,1,2,2,TRUE
19,management,single,secondary,no,214,no,yes,unknown,21,may,426,3,2,4,1,2,FALSE
68,admin.,married,secondary,no,216,yes,no,cellular,5,jul,184,1,1,2,3,20,FALSE
46,entrepreneur,single,secondary,no,108,yes,yes,cellular,18,jul,415,1,2,2,2,4,FALSE
63,blue-collar,married,secondary,no,1,no,no,cellular,17,jun,86,2,2,2,3,9,TRUE
78,blue-collar,married,secondary,no,924,yes,yes,cellular,18,nov,164,5,2,2,4,2,FALSE
21,student,single,secondary,no,-150,no,no,cellular,21,nov,744,2,2,2,1,1,FALSE
80,entrepreneur,married,tertiary,no,48,yes,no,cellular,14,may,226,32,2,6,1,1,FALSE
82,housemaid,single,primary,no,4697,no,no,cellular,16,mar,272,1,2,2,1,2,FALSE
69,admin.,married,primary,no,6054,yes,no,cellular,7,apr,190,1,2,2,1,3,FALSE
22,management,married,secondary,no,43,no,no,unknown,14,dec,139,3,2,2,5,2,FALSE
58,services,divorced,tertiary,no,1099,yes,yes,cellular,22,nov,73,2,1,12,3,3,FALSE
78,technician,married,secondary,no,1675,no,yes,cellular,15,apr,385,1,2,5,1,1,FALSE
19,technician,single,primary,no,30,yes,yes,cellular,15,may,44,1,3,10,1,1,FALSE
35,entrepreneur,married,secondary,no,1083,no,no,cellular,31,may,121,1,2,5,3,2,FALSE
26,admin.,married,tertiary,no,3807,no,no,cellular,28,may,618,3,2,1,1,2,FALSE
27,blue-collar,single,secondary,no,902,yes,no,cellular,18,apr,522,4,1,13,8,1,TRUE
31,self-employed,single,secondary,no,1420,no,no,cellular,12,aug,158,1,2,1,3,4,FALSE
26,technician,single,secondary,no,21,yes,no,cellular,24,may,89,1,3,2,1,2,FALSE
29,technician,single,primary,no,449,yes,no,unknown,7,may,95,5,2,1,1,1,FALSE
36,technician,married,tertiary,no,50,no,no,cellular,11,may,75,1,2,1,7,4,FALSE
19,services,single,tertiary,no,-57,no,no,cellular,25,jun,323,2,3,2,1,2,FALSE
21,management,married,tertiary,no,564,yes,no,telephone,2,jun,114,1,2,2,1,2,TRUE
81,technician,married,secondary,no,18,no,no,cellular,15,may,64,3,1,10,4,13,FALSE
68,services,single,secondary,no,8951,yes,no,unknown,5,aug,631,7,1,8,7,1,TRUE
75,housemaid,married,unknown,no,592,yes,yes,cellular,23,jun,310,31,3,2,1,2,FALSE
77,technician,married,tertiary,no,135,no,yes,cellular,21,may,102,4,2,2,1,2,FALSE
64,admin.,married,secondary,no,3350,yes,no,cellular,4,apr,246,1,1,5,1,2,TRUE
84,retired,married,tertiary,no,6188,no,no,cellular,23,apr,245,4,2,1,8,6,FALSE
42,blue-collar,single,tertiary,no,141,yes,no,cellular,9,jun,265,3,1,2,7,2,TRUE
84,technician,married,secondary,no,-14,no,no,cellular,9,may,119,5,3,2,1,13,FALSE
59,blue-collar,married,tertiary,no,3042,yes,no,cellular,22,aug,136,6,1,2,4,2,TRUE
35,technician,single,secondary,yes,272,no,no,cellular,18,aug,219,3,2,2,6,2,FALSE
75,blue-collar,married,tertiary,no,6,no,yes,cellular,16,jun,61,1,3,1,1,1,FALSE
25,unemployed,divorced,unknown,no,1627,no,no,cellular,29,nov,228,2,1,5,2,3,FALSE
20,blue-collar,divorced,secondary,no,881,no,no,telephone,29,may,599,1,2,2,1,2,FALSE
19,blue-collar,married,unknown,no,111,no,no,unknown,11,aug,240,1,2,2,1,2,FALSE
35,blue-collar,single,secondary,no,1005,yes,no,cellular,27,may,58,1,2,2,2,3,FALSE
50,technician,married,tertiary,no,95,yes,no,cellular,25,jul,1025,2,1,2,1,3,FALSE
25,admin.,single,secondary,no,750,yes,no,cellular,25,jul,349,1,1,2,1,3,FALSE
45,management,married,secondary,no,3031,no,no,cellular,14,jul,312,2,1,2,1,10,FALSE
19,retired,divorced,tertiary,no,5,yes,no,unknown,13,aug,469,2,2,2,2,5,FALSE
33,management,married,secondary,no,-841,no,no,cellular,4,jul,93,4,4,2,1,2,FALSE
38,services,married,secondary,no,389,yes,no,telephone,8,may,78,1,3,2,1,1,FALSE
28,technician,married,primary,no,6913,yes,no,unknown,7,may,146,1,3,2,7,2,TRUE
19,student,married,primary,no,7325,yes,no,cellular,15,jan,397,1,2,2,1,1,FALSE
62,blue-collar,divorced,primary,no,3009,yes,no,unknown,13,may,42,1,3,2,1,2,FALSE
84,admin.,married,tertiary,yes,-425,yes,no,unknown,20,jul,886,9,3,2,1,2,FALSE
69,blue-collar,married,tertiary,no,1233,yes,no,unknown,7,may,238,1,2,2,1,1,FALSE
35,services,married,secondary,no,3800,yes,no,cellular,16,nov,121,2,2,1,1,2,FALSE
33,admin.,single,tertiary,no,-55,no,no,cellular,8,jul,163,7,2,2,2,3,TRUE
33,services,single,tertiary,no,-298,no,no,cellular,11,jun,791,2,2,4,6,6,TRUE
72,technician,single,tertiary,no,-426,yes,yes,cellular,25,may,62,1,2,2,3,3,TRUE
65,services,single,secondary,yes,292,yes,no,cellular,6,jul,220,1,3,2,3,3,TRUE
50,admin.,single,secondary,no,79,yes,no,cellular,18,may,299,1,1,12,1,13,TRUE
84,technician,married,secondary,no,686,yes,no,cellular,21,aug,117,1,2,2,3,6,FALSE
71,services,divorced,tertiary,no,0,no,no,unknown,30,aug,197,2,2,2,4,2,FALSE
19,blue-collar,married,primary,no,-131,yes,no,cellular,17,jun,119,1,1,1,2,5,FALSE
51,retired,single,secondary,no,198,no,no,cellular,3,feb,128,1,2,2,8,3,FALSE
68,blue-collar,single,primary,no,2113,no,no,cellular,5,jan,181,1,2,2,1,4,FALSE
39,services,married,secondary,no,1956,yes,no,cellular,6,jul,199,1,1,1,4,20,FALSE
32,admin.,divorced,secondary,no,720,yes,no,cellular,28,nov,135,2,1,1,4,1,TRUE
45,blue-collar,married,tertiary,no,-576,yes,no,unknown,9,may,315,3,3,2,7,8,FALSE
84,blue-collar,single,tertiary,no,1966,yes,no,cellular,14,jun,56,8,2,2,1,2,FALSE
19,management,single,unknown,no,1171,no,no,unknown,20,feb,281,2,3,4,4,10,FALSE
84,services,single,tertiary,no,-438,no,yes,cellular,11,apr,155,2,2,2,8,2,TRUE
41,services,divorced,tertiary,no,148,no,yes,cellular,20,feb,102,5,1,5,2,2,FALSE
84,blue-collar,single,tertiary,no,3945,no,no,cellular,18,nov,74,2,1,1,2,13,FALSE
19,technician,married,secondary,no,527,no,no,unknown,18,jun,478,2,2,2,1,1,TRUE
30,management,single,secondary,no,5539,yes,no,cellular,13,apr,484,7,2,2,4,6,TRUE
66,technician,married,secondary,no,337,no,no,unknown,7,apr,70,2,1,1,1,1,TRUE
45,technician,married,tertiary,no,235,yes,no,cellular,13,may,140,1,1,1,1,4,FALSE
39,blue-collar,single,secondary,no,-299,yes,no,cellular,21,aug,81,2,3,2,1,1,FALSE
23,technician,married,secondary,no,41,no,no,unknown,14,aug,173,1,2,13,2,2,FALSE
30,services,single,tertiary,no,839,yes,no,telephone,18,nov,209,3,2,2,5,4,FALSE
19,unemployed,single,secondary,no,232,no,no,unknown,27,may,288,2,2,2,2,6,TRUE
40,management,single,tertiary,no,354,no,no,cellular,20,nov,280,9,2,1,9,2,FALSE
84,blue-collar,married,primary,no,198,no,no,unknown,29,may,175,2,1,1,4,2,TRUE
59,management,single,tertiary,no,1,yes,no,cellular,16,may,99,31,3,2,1,2,FALSE
84,blue-collar,married,tertiary,no,2354,no,no,telephone,15,jul,224,2,2,2,1,10,FALSE
39,blue-collar,single,secondary,no,484,yes,no,cellular,21,may,152,2,1,1,1,1,FALSE
28,management,married,secondary,no,308,no,no,cellular,5,oct,196,1,7,5,7,10,FALSE
84,admin.,single,secondary,no,353,yes,yes,cellular,22,nov,111,2,1,1,1,2,FALSE
83,unknown,married,tertiary,no,249,no,no,unknown,26,nov,347,1,1,2,4,4,TRUE
84,admin.,single,secondary,yes,660,yes,yes,cellular,20,nov,53,1,3,2,1,13,FALSE
45,blue-collar,single,secondary,no,85,yes,no,cellular,28,nov,150,1,3,2,2,1,TRUE
55,entrepreneur,married,secondary,no,933,no,no,unknown,1,apr,109,4,1,2,2,3,FALSE
56,blue-collar,single,secondary,no,143,yes,no,cellular,18,may,52,2,2,2,1,2,FALSE
32,technician,married,secondary,no,556,no,no,unknown,19,jun,212,1,3,4,3,6,FALSE
42,admin.,single,primary,no,193,yes,yes,unknown,25,may,61,4,1,2,1,2,FALSE
71,student,married,tertiary,no,291,yes,no,cellular,2,jan,332,3,2,2,3,1,FALSE
84,technician,single,secondary,yes,-118,yes,no,unknown,9,jul,138,2,2,2,7,1,FALSE
33,entrepreneur,married,primary,yes,1060,yes,no,unknown,10,jul,616,1,2,1,4,10,FALSE
53,self-employed,married,secondary,no,418,no,no,cellular,24,nov,103,1,2,5,2,2,FALSE
69,services,married,primary,no,14,yes,no,cellular,28,may,17,1,2,13,1,4,TRUE
30,management,married,secondary,no,724,yes,no,cellular,7,may,16,1,2,2,7,1,FALSE
27,technician,single,secondary,no,2009,no,no,cellular,4,aug,199,1,1,12,3,10,FALSE
84,unemployed,married,secondary,no,1163,no,no,cellular,29,apr,125,1,1,2,6,1,FALSE
48,unknown,divorced,tertiary,no,-62,no,no,cellular,8,aug,75,2,1,2,3,3,TRUE
84,housemaid,divorced,primary,no,2764,yes,no,unknown,19,apr,861,2,2,5,1,3,TRUE
20,management,single,tertiary,no,677,yes,no,cellular,20,jun,302,1,2,2,1,2,FALSE
31,blue-collar,married,secondary,no,1066,yes,no,cellular,3,jun,101,2,2,13,1,1,FALSE
60,management,married,secondary,no,388,no,no,cellular,17,aug,71,2,2,2,3,6,FALSE
50,blue-collar,married,secondary,no,507,yes,no,cellular,13,jun,350,1,2,2,7,13,FALSE
69,self-employed,single,primary,no,1062,yes,no,cellular,27,feb,25,2,2,4,7,13,FALSE
29,blue-collar,married,secondary,no,32507,yes,no,unknown,9,aug,79,6,2,5,1,3,FALSE
74,admin.,divorced,secondary,no,36,no,no,cellular,17,aug,231,2,3,2,7,13,FALSE
45,technician,single,tertiary,no,1696,yes,no,unknown,23,nov,102,4,2,1,1,13,FALSE
40,blue-collar,married,secondary,no,232,no,no,cellular,20,jul,381,4,3,2,2,2,FALSE
47,entrepreneur,single,secondary,no,386,yes,no,cellular,20,may,129,1,2,2,1,2,FALSE
26,admin.,married,tertiary,no,963,yes,no,unknown,20,aug,1093,2,2,4,1,3,FALSE
84,self-employed,married,primary,no,1924,no,no,cellular,17,may,209,2,2,4,1,11,FALSE
32,technician,divorced,tertiary,no,1049,no,no,cellular,14,feb,2422,7,1,2,7,2,FALSE
31,technician,married,secondary,no,735,yes,no,cellular,21,feb,523,2,2,2,1,3,FALSE
51,blue-collar,married,tertiary,no,4170,no,no,cellular,7,aug,105,2,3,1,1,8,FALSE
28,services,single,secondary,no,1058,no,no,cellular,18,may,475,1,2,2,1,2,TRUE
84,management,married,tertiary,no,983,yes,no,cellular,8,jul,677,1,2,2,9,5,FALSE
36,management,single,secondary,no,-99,no,no,unknown,30,jul,91,3,4,2,4,2,FALSE
31,blue-collar,married,secondary,no,-135,yes,no,cellular,7,jun,35,2,3,2,1,1,FALSE
85,blue-collar,married,secondary,no,317,no,no,cellular,14,jul,589,2,1,5,2,3,FALSE
39,technician,married,secondary,no,28619,no,yes,cellular,26,apr,869,4,3,2,6,2,FALSE
27,management,married,secondary,no,2,yes,no,cellular,7,may,222,1,3,1,4,2,FALSE
28,services,married,primary,no,1,yes,no,cellular,21,may,95,3,2,1,2,11,TRUE
27,services,single,secondary,no,443,yes,no,unknown,27,may,199,1,1,1,1,2,TRUE
76,blue-collar,married,secondary,no,1950,yes,no,cellular,6,apr,660,1,2,1,4,3,FALSE
22,blue-collar,married,primary,no,409,no,no,cellular,11,aug,119,5,1,8,2,2,FALSE
42,management,married,secondary,no,598,yes,no,cellular,23,aug,334,5,2,1,6,2,FALSE
68,services,married,secondary,no,3,yes,no,unknown,7,may,120,2,2,2,1,4,FALSE
31,blue-collar,single,secondary,no,220,yes,yes,unknown,24,jun,200,1,1,2,1,2,TRUE
73,technician,married,tertiary,no,11520,no,no,cellular,3,may,108,4,3,2,1,4,FALSE
64,services,single,primary,no,601,yes,no,unknown,17,may,198,6,2,1,3,2,FALSE
29,blue-collar,married,secondary,no,5971,yes,no,cellular,21,jun,157,4,1,1,1,3,TRUE
84,admin.,single,secondary,no,377,no,yes,telephone,18,jan,232,1,1,2,1,10,FALSE
83,technician,married,secondary,no,2113,yes,no,telephone,26,apr,202,4,2,2,1,2,FALSE
63,unknown,married,primary,no,1714,yes,no,cellular,28,may,129,8,2,2,6,2,FALSE
19,services,single,secondary,no,21,no,no,cellular,30,may,659,2,3,2,1,2,FALSE
19,services,married,secondary,no,404,no,no,unknown,22,may,83,1,3,2,8,1,TRUE
19,services,married,secondary,no,688,yes,no,unknown,12,jul,506,5,2,2,1,6,FALSE
19,admin.,single,secondary,no,34,yes,no,cellular,2,jun,256,1,2,4,4,2,FALSE
53,technician,married,primary,no,1556,yes,no,unknown,11,feb,155,1,3,2,4,3,FALSE
59,blue-collar,married,tertiary,no,22,no,no,cellular,6,feb,381,1,3,2,1,3,FALSE
70,management,single,secondary,no,351,yes,no,unknown,29,jul,189,4,2,2,1,4,FALSE
84,technician,single,tertiary,no,5193,no,no,cellular,28,jan,136,1,1,1,1,3,FALSE
84,technician,single,secondary,no,813,yes,no,cellular,14,jan,290,3,3,2,3,1,FALSE
